level,topics_num,S,E,free_energy,Renyi_entropy,levels,alpha,gamma,eta
1,1,-2.020709837705358,0.14840606931480727,2.1691159070201653,,3,0.5,0.5,0.5
2,5,-2.4452934719515023,0.6120032881754865,12.838470647932997,3.2096176619832493,3,0.5,0.5,0.5
3,17,-3.204433485468276,1.5021288153088073,55.977498068269504,3.498593629266844,3,0.5,0.5,0.5
1,1,-2.544050523507192,0.047276942087634014,2.5913274655948264,,3,10.0,1.0,0.1
2,13,-3.570377017491305,1.0214622467018364,47.4363634740888,3.9530302895074,3,10.0,1.0,0.1
3,121,-3.625568378816002,1.0054526102096342,439.6992264469459,3.664160220391216,3,10.0,1.0,0.1
1,1,-2.0622785822009138,0.19332183928706495,2.2556004214879786,,3,10.0,0.5,1.0
2,4,-3.283610636123195,1.470075107626294,14.604517652119073,4.868172550706357,3,10.0,0.5,1.0
3,13,-3.240354952955023,1.3333822406481448,43.45799662906344,3.62149971908862,3,10.0,0.5,1.0
1,1,-2.6287475573495986,0.029451722421620447,2.6581992797712193,,6,10.0,1.0,0.1
2,9,-3.7438120953668825,1.091227183598083,34.78553604190003,4.348192005237504,6,10.0,1.0,0.1
3,26,-4.2947435349605225,1.707079258407449,113.37041116738104,4.534816446695242,6,10.0,1.0,0.1
4,74,-4.747687691859665,2.1450223199046157,353.4739115175198,4.842108376952326,6,10.0,1.0,0.1
5,176,-5.098332231944091,2.3351043633925594,899.6415771855526,5.140809012488872,6,10.0,1.0,0.1
6,473,-4.810999299706232,1.920301224068261,2277.522969985116,4.8252605296294835,6,10.0,1.0,0.1
1,1,-2.5685869763770848,0.032036958800924456,2.6006239351780094,,6,0.5,5.0,0.1
2,35,-3.612619626105201,1.0987214379608352,127.54040835164287,3.7511884809306726,6,0.5,5.0,0.1
3,206,-5.059490963426625,2.418989477004005,1044.6741279428888,5.09597135581897,6,0.5,5.0,0.1
4,818,-6.272203721900394,3.382843051446622,5134.045487565969,6.284021404609509,6,0.5,5.0,0.1
5,2172,-7.3915692992828115,4.432018632971479,16058.920536675238,7.397015447570354,6,0.5,5.0,0.1
6,4583,-8.150472044326715,5.168002466160615,37358.781381615496,8.153378738894697,6,0.5,5.0,0.1
1,1,-2.651857251537352,0.029534277551036613,2.6813915290883887,,3,20.0,5.0,0.1
2,24,-3.3937667647586776,0.9487122269005609,82.39911458110882,3.5825701991786443,3,20.0,5.0,0.1
3,308,-4.061637790004111,1.2784138484582572,1252.2628531697246,4.07903209501539,3,20.0,5.0,0.1
1,1,-2.275860032278663,0.11557456995375294,2.391434602232416,,6,10.0,0.5,0.5
2,4,-2.5847215632381197,0.6193330079640449,10.958219260916524,3.652739753638841,6,10.0,0.5,0.5
3,8,-3.1872421356202953,1.187163744520085,26.685100829482447,3.8121572613546353,6,10.0,0.5,0.5
4,17,-4.092118789635099,2.3140598888750374,71.88007931267171,4.492504957041982,6,10.0,0.5,0.5
5,33,-4.63741496056082,2.7927109287237593,155.8274046272308,4.869606394600963,6,10.0,0.5,0.5
6,55,-4.447353166570223,2.6833549117934137,247.28777907315566,4.579403316169549,6,10.0,0.5,0.5
1,1,-2.1819927914519552,0.13601011616000627,2.3180029076119615,,3,0.5,1.0,0.5
2,9,-3.7768845741748454,1.9763472945393339,35.968308462112944,4.496038557764118,3,0.5,1.0,0.5
3,33,-3.5401344346260393,1.6468689163260832,118.47130525898538,3.702228289343293,3,0.5,1.0,0.5
1,1,-2.165600396096434,0.15154023195786678,2.3171406280543008,,3,10.0,0.5,0.5
2,5,-3.015434415221886,1.1975140752897016,16.27468615139913,4.068671537849783,3,10.0,0.5,0.5
3,16,-3.628150929596515,1.7435373314178675,59.79395220496211,3.9862634803308072,3,10.0,0.5,0.5
1,1,-2.450149723127359,0.1254347054792755,2.5755844286066347,,3,10.0,1.0,1.0
2,5,-2.331861305138492,0.5963939192730978,12.255700444965559,3.0639251112413897,3,10.0,1.0,1.0
3,21,-3.506947399463273,1.9790422798231204,75.62493766855185,3.7812468834275927,3,10.0,1.0,1.0
1,1,-2.554600734402345,0.07587601655886242,2.6304767509612073,,6,10.0,1.0,0.5
2,5,-2.9996260072103422,0.9830167717528855,15.981146807804596,3.995286701951149,6,10.0,1.0,0.5
3,11,-3.5775026361383584,1.9496206204720468,41.30214961799399,4.130214961799399,6,10.0,1.0,0.5
4,30,-4.646987660022996,2.8620046356764015,142.27163443636627,4.9059184288402164,6,10.0,1.0,0.5
5,58,-4.609103327734928,2.790027506799334,270.1180205154252,4.7389126406214945,6,10.0,1.0,0.5
6,147,-5.200414846480483,3.476593082328815,767.9375755149598,5.259846407636711,6,10.0,1.0,0.5
1,1,-2.088075369532934,0.2051684231541081,2.293243792687042,,6,20.0,1.0,1.0
2,4,-2.982280467244283,1.2141407844312413,13.143262653408375,4.381087551136125,6,20.0,1.0,1.0
3,11,-4.357719239741689,2.4823100156691695,50.41722165282775,5.041722165282775,6,20.0,1.0,1.0
4,25,-4.845436934907307,3.2242533720426683,124.36017674472535,5.181674031030223,6,20.0,1.0,1.0
5,53,-5.35811836037564,3.443735492237505,287.42400859214644,5.527384780618201,6,20.0,1.0,1.0
6,90,-5.35907284416157,3.8486603045600356,486.16521627910134,5.462530519989903,6,20.0,1.0,1.0
1,1,-2.1863516162417684,0.18952820409381912,2.3758798203355878,,3,0.5,0.5,1.0
2,7,-3.1343032809045046,1.5922457788851254,23.532368745216658,3.9220614575361097,3,0.5,0.5,1.0
3,16,-3.8289088512902145,2.038663330422328,63.30120495106576,4.220080330071051,3,0.5,0.5,1.0
1,1,-2.526956090147892,0.06789562507691467,2.5948517152248067,,6,0.5,5.0,0.5
2,14,-3.005481026519823,1.2031028777935067,43.27983724907102,3.32921824992854,6,0.5,5.0,0.5
3,102,-4.76138512170699,3.127136514176249,488.7884189282892,4.839489296319695,6,0.5,5.0,0.5
4,361,-6.409929057114103,4.724700620045258,2318.709090238236,6.4408585839951,6,0.5,5.0,0.5
5,892,-7.523436118490095,5.879229762319188,6716.784247455485,7.538478392205931,6,0.5,5.0,0.5
6,1958,-8.272865258591622,6.4793901317189455,16204.749566454115,8.280403457564699,6,0.5,5.0,0.5
1,1,-2.308885566680962,0.14902742593063587,2.4579129926115977,,6,10.0,1.0,1.0
2,4,-2.9811192517083414,0.9556800723823872,12.880157079215753,4.293385693071918,6,10.0,1.0,1.0
3,10,-3.618372518409734,1.7559237766100553,37.939648960707395,4.215516551189711,6,10.0,1.0,1.0
4,31,-5.114593351532044,3.4561657794388596,162.0085596769322,5.4002853225644065,6,10.0,1.0,1.0
5,70,-5.385846318798415,3.986041448139017,380.9952837640281,5.521670779188813,6,10.0,1.0,1.0
6,113,-6.075065559425554,4.673091633288407,691.155499848376,6.171031248646215,6,10.0,1.0,1.0
1,1,-2.08744205728884,0.22881878393378463,2.3162608412226247,,6,20.0,0.5,1.0
2,2,-2.5862842670331507,0.39036999456727556,5.562938528633577,5.562938528633577,6,20.0,0.5,1.0
3,4,-3.1074371552746345,1.2964014252847984,13.726150046383337,4.575383348794445,6,20.0,0.5,1.0
4,7,-3.9397413601764892,2.0510279787884955,29.62921750002392,4.938202916670654,6,20.0,0.5,1.0
5,12,-4.428151071442478,2.625918272047312,55.763731129357055,5.069430102668823,6,20.0,0.5,1.0
6,24,-4.822646151643531,3.247953363749632,118.99146100319437,5.173541782747582,6,20.0,0.5,1.0
1,1,-2.287005420517301,0.12139459399446359,2.4084000145117646,,6,20.0,1.0,0.5
2,2,-2.766444730462621,0.7980933819053042,6.330982842830546,6.330982842830546,6,20.0,1.0,0.5
3,7,-3.52357176296691,1.6461745618041177,26.311176902572488,4.385196150428748,6,20.0,1.0,0.5
4,17,-4.107722338309419,2.3079081534489077,72.13918790470902,4.508699244044314,6,20.0,1.0,0.5
5,35,-4.579237117995002,2.750074210509891,163.02337334033498,4.7948050982451464,6,20.0,1.0,0.5
6,86,-4.529675911934533,2.663894666311235,392.2160230926811,4.614306154031542,6,20.0,1.0,0.5
1,1,-2.2490861856550075,0.14065078644075404,2.3897369720957617,,3,0.5,5.0,1.0
2,10,-2.7868449145374496,1.1844132967767984,29.052862442151298,3.2280958269056996,3,0.5,5.0,1.0
3,80,-4.332087544343681,3.0024179787825296,349.569421526277,4.42492938640857,3,0.5,5.0,1.0
1,1,-2.5558641584491166,0.03333256641642109,2.5891967248655376,,6,0.5,1.0,0.1
2,17,-3.2933346594141844,0.8764924682746369,56.86318167831577,3.5539488548947356,6,0.5,1.0,0.1
3,55,-4.091419057125456,1.53293497641633,226.5609831183164,4.195573761450303,6,0.5,1.0,0.1
4,166,-4.946872624535325,2.2631278154353005,823.4439834882992,4.990569596898783,6,0.5,1.0,0.1
5,391,-5.479748320646188,2.6292432151472216,2145.2108365878066,5.5005406066354015,6,0.5,1.0,0.1
6,925,-5.970600000132537,3.0999710711534445,5525.90497119375,5.980416635491071,6,0.5,1.0,0.1
1,1,-2.095866171320702,0.15080860148386013,2.246674772804562,,3,10.0,1.0,0.5
2,4,-3.3447261518673117,0.8216343576016691,14.200538965070916,4.7335129883569715,3,10.0,1.0,0.5
3,23,-2.769489038331595,0.9624296772418687,64.66067755886856,2.939121707221298,3,10.0,1.0,0.5
1,1,-2.283533194806552,0.127012436299488,2.4105456311060403,,6,20.0,0.5,0.5
2,4,-3.16073653797266,0.9164336887655817,13.559379840656222,4.519793280218741,6,20.0,0.5,0.5
3,7,-3.185308456788617,1.4209003659180153,23.718059563438334,3.9530099272397226,6,20.0,0.5,0.5
4,13,-3.9896153320667307,2.078384446776003,53.9433837636435,4.495281980303625,6,20.0,0.5,0.5
5,28,-4.5799750548119045,2.6713492891265624,130.9106508238599,4.848542623105922,6,20.0,0.5,0.5
6,53,-4.190642509134511,2.357777371017103,224.4618303551462,4.316573660675888,6,20.0,0.5,0.5
1,1,-2.5945287683550844,0.03929885991271023,2.633827628267795,,3,20.0,1.0,0.1
2,18,-3.588082820949998,1.0224061418271626,65.60789691892712,3.8592880540545367,3,20.0,1.0,0.1
3,158,-3.5699225191635806,0.9464127830300175,564.9941708108757,3.5986889860565334,3,20.0,1.0,0.1
1,1,-2.6610842148047946,0.031066641824801098,2.6921508566295955,,3,10.0,5.0,0.1
2,25,-3.7071253741788506,1.0105435868527588,93.68867794132403,3.9036949142218345,3,10.0,5.0,0.1
3,294,-3.976173065846425,1.1972211851851995,1170.1921025440342,3.9938297015154753,3,10.0,5.0,0.1
1,1,-2.332670039513344,0.13599011047521,2.468660149988554,,6,0.5,0.5,1.0
2,6,-3.2706513042519196,1.3126580253483366,20.936565850859854,4.18731317017197,6,0.5,0.5,1.0
3,8,-3.3466060479823003,1.5959400316187278,28.36878841547713,4.052684059353876,6,0.5,0.5,1.0
4,16,-4.332348972489777,2.937553938575678,72.25513749841211,4.8170091665608075,6,0.5,0.5,1.0
5,29,-4.731270002015777,3.2638489781038738,140.47067903656142,5.016809965591479,6,0.5,0.5,1.0
6,54,-5.206260524446893,3.6163231207777304,284.75439144090996,5.372724366809622,6,0.5,0.5,1.0
1,1,-2.5916420060826937,0.02936331729383491,2.6210053233765285,,6,20.0,5.0,0.1
2,21,-3.4705608331109814,1.026155617375322,73.90793311270593,3.695396655635297,6,20.0,5.0,0.1
3,142,-4.837934988526026,2.113816339637538,689.1005847103332,4.887238189434988,6,20.0,5.0,0.1
4,572,-5.861962756151274,2.9517542088870585,3355.994450727416,5.877398337526122,6,20.0,5.0,0.1
5,1653,-6.824197362405392,3.8103393295351924,11284.208579385648,6.83063473328429,6,20.0,5.0,0.1
6,4138,-7.8335588833662415,4.844368412656045,32420.111027782164,7.836623405313552,6,20.0,5.0,0.1
1,1,-2.152846205690716,0.1915664150245892,2.344412620715305,,6,10.0,5.0,1.0
2,8,-3.3269387128867316,1.4039180281418377,28.01942773123569,4.002775390176527,6,10.0,5.0,1.0
3,48,-4.778260682580599,3.2112752666054307,232.5677880304742,4.948250809159025,6,10.0,5.0,1.0
4,169,-6.929065333576462,5.198068252664974,1176.2101096270871,7.001250652542185,6,10.0,5.0,1.0
