level,topics_num,S,E,free_energy,Renyi_entropy,levels,alpha,gamma,eta
1,1,-1.9385948274789404,0.15963074009740458,2.098225567576345,,3,0.5,0.5,0.5
2,4,-2.1386463311240256,0.5060261623170862,9.060611486813189,3.0202038289377295,3,0.5,0.5,0.5
3,10,-1.7369660259027926,0.6978061677201773,18.0674664267481,2.0074962696386778,3,0.5,0.5,0.5
1,1,-1.81938507847577,0.10104135233708816,1.920426430812858,,3,10.0,1.0,0.1
2,6,-2.6891672308451984,0.4837161805039444,16.618719565575134,3.3237439131150266,3,10.0,1.0,0.1
3,45,-2.291533463855733,0.6661150295612833,103.78512090306927,2.3587527477970287,3,10.0,1.0,0.1
1,1,-1.8438345136586398,0.18873221471100654,2.0325667283696465,,3,10.0,0.5,1.0
2,1,-1.8342552409552213,0.2526595002040766,2.086914741159298,,3,10.0,0.5,1.0
3,4,-2.3327858590138866,0.8890731064595937,10.22021654251514,3.4067388475050464,3,10.0,0.5,1.0
1,1,-1.9603721924023039,0.06202016640539124,2.022392358807695,,6,10.0,1.0,0.1
2,7,-1.4625424196519483,0.1476912988436866,10.385488236407324,1.7309147060678873,6,10.0,1.0,0.1
3,18,-1.5055605214060743,0.5299812962422228,27.63007068155156,1.625298275385386,6,10.0,1.0,0.1
4,45,-1.3221275484402466,0.7321686942530644,60.22790837406416,1.368816099410549,6,10.0,1.0,0.1
5,113,-0.7546320646496122,0.568743826868174,85.84216713227435,0.7664479208238781,6,10.0,1.0,0.1
6,236,-0.7386671474120956,0.5905117039803521,174.9159584932349,0.7443232276307868,6,10.0,1.0,0.1
1,1,-1.871013887041942,0.06578485750804104,1.936798744549983,,6,0.5,5.0,0.1
2,9,-2.7159857395330973,0.6015641218123428,25.045435777610216,3.130679472201277,6,0.5,5.0,0.1
3,61,-0.9581978079357849,0.5345617526295591,58.98462803671244,0.9830771339452072,6,0.5,5.0,0.1
4,289,-0.5987279189056172,0.49992078804046336,173.53228935176384,0.602542671360291,6,0.5,5.0,0.1
5,985,-0.26220976975611,0.2497571253485288,258.52638033511687,0.26273006131617566,6,0.5,5.0,0.1
6,2433,-0.07452447677473599,0.07300978321327027,181.39106177614593,0.07458514053295474,6,0.5,5.0,0.1
1,1,-1.855243453312904,0.070665039088911,1.925908492401815,,3,20.0,5.0,0.1
2,16,-2.3361547560799916,0.8506672050577456,38.22914330233761,2.548609553489174,3,20.0,5.0,0.1
3,135,-2.1799564303292662,0.9108191511536023,295.2049372456045,2.203021919743317,3,20.0,5.0,0.1
1,1,-1.874198039741082,0.20035585342820647,2.0745538931692886,,6,10.0,0.5,0.5
2,1,-1.6608829273470094,0.1852768497346243,1.8461597770816336,,6,10.0,0.5,0.5
3,2,-2.604159193423744,0.8329127731896568,6.041231160037144,6.041231160037144,6,10.0,0.5,0.5
4,4,-2.9475301717361133,1.2471862922553059,13.037306979199759,4.345768993066586,6,10.0,0.5,0.5
5,11,-0.7551781810353063,0.5743908060443679,8.881350797432738,0.8881350797432738,6,10.0,0.5,0.5
6,20,-0.8621462278649407,0.6572560820955633,17.900180639394378,0.9421147704944409,6,10.0,0.5,0.5
1,1,-1.8445222715949656,0.17743988335772556,2.0219621549526914,,3,0.5,1.0,0.5
2,4,-1.1541308626722406,0.41514080887622756,5.03166425956519,1.6772214198550632,3,0.5,1.0,0.5
3,11,-1.4152525240322265,0.6970520188148707,16.26482978316936,1.6264829783169361,3,0.5,1.0,0.5
1,1,-1.6869864976529356,0.2016172969872742,1.8886037946402099,,3,10.0,0.5,0.5
2,3,-2.392850099756537,0.7213994783462573,7.899949777615869,3.9499748888079345,3,10.0,0.5,0.5
3,6,-2.448224391802984,0.8016108386356416,15.490957189453544,3.098191437890709,3,10.0,0.5,0.5
1,1,-1.8386913512841723,0.1999536940597885,2.038645045343961,,3,10.0,1.0,1.0
2,4,-2.136686337414193,0.5984911056157434,9.145236455272515,3.048412151757505,3,10.0,1.0,1.0
3,17,-1.1520329491739314,0.9468758879791312,20.531436023935967,1.283214751495998,3,10.0,1.0,1.0
1,1,-1.8535064370693128,0.1927144804463907,2.0462209175157033,,6,10.0,1.0,0.5
2,1,-1.6761724217863974,0.18777117790126865,1.863943599687666,,6,10.0,1.0,0.5
3,3,-2.422246216819334,0.6487526330050205,7.915491283463023,3.9577456417315116,6,10.0,1.0,0.5
4,7,-0.7269900611045791,0.27218726948781946,5.361117697219873,0.8935196162033122,6,10.0,1.0,0.5
5,17,-0.5046616896220036,0.3962025172986239,8.975451240872687,0.5609657025545429,6,10.0,1.0,0.5
