level,topics_num,S,E,free_energy,Renyi_entropy,levels,alpha,gamma,eta
1,1,-1.6371194328948238,0.2073179241169481,1.8444373570117718,,3,0.5,0.5,0.5
2,2,-2.4042240625405467,0.7649484681882187,5.573396593269312,5.573396593269312,3,0.5,0.5,0.5
3,5,-3.2365433534403016,1.6480037623028108,17.83072052950432,4.45768013237608,3,0.5,0.5,0.5
1,1,-1.7388522063293432,0.10214272388730461,1.840994930216648,,3,10.0,1.0,0.1
2,6,-1.4566789347118194,0.42134699709441503,9.161420605365333,1.8322841210730665,3,10.0,1.0,0.1
3,45,-2.3020111806177312,0.6508378364481054,104.241340964246,2.3691213855510456,3,10.0,1.0,0.1
1,1,-1.7994574844764768,0.21895793065980126,2.018415415136278,,3,10.0,0.5,1.0
2,2,-2.368447889375263,0.8939874130851739,5.6308831918357,5.6308831918357,3,10.0,0.5,1.0
3,5,-1.4399519565395853,0.9790403471863567,8.178800129884284,2.044700032471071,3,10.0,0.5,1.0
1,1,-1.9370842531735737,0.06488450770808629,2.00196876088166,,6,10.0,1.0,0.1
2,8,-2.657777169214654,0.5419378686593704,21.804155222376604,3.114879317482372,6,10.0,1.0,0.1
3,20,-2.428076420176578,0.9089213057917404,49.4704497093233,2.603707879438068,6,10.0,1.0,0.1
4,56,-1.0247122406733953,0.6181531213822631,58.0020385990924,1.0545825199834982,6,10.0,1.0,0.1
5,122,-0.7898762428170234,0.5778381543368253,96.94273977801369,0.80117966758689,6,10.0,1.0,0.1
6,252,-0.7518561184582435,0.60370066376681,190.07144251524417,0.7572567430886222,6,10.0,1.0,0.1
1,1,-1.9110120128637984,0.06742552450417069,1.978437537367969,,6,0.5,5.0,0.1
2,11,-1.7823848388514432,0.33246522834863224,19.938698455714505,1.9938698455714505,6,0.5,5.0,0.1
3,74,-1.1397011053926422,0.6899386544893401,85.02782045354486,1.1647646637471898,6,0.5,5.0,0.1
4,374,-0.5378764556792581,0.4755193569556485,201.6413137809982,0.5405933345335072,6,0.5,5.0,0.1
5,1171,-0.1855227195604917,0.17726247431684083,217.42436707965265,0.1858327923757715,6,0.5,5.0,0.1
